model,benchmark,n,retention,rbm,post_l2,delta_pp,ci_low,ci_high,p_value,unit,bootstrap,stest,source
qwen3vl,textvqa,5000,0.25,0.6053,0.2217,38.367,36.873,39.853,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen3vl,textvqa,5000,0.125,0.4718,0.1318,34.0,32.533,35.433,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen3vl,docvqa,5349,0.25,0.4806,0.2377,24.298,23.008,25.602,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen3vl,docvqa,5349,0.125,0.3522,0.1034,24.882,23.58,26.18,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen3vl,gqa,12578,0.25,0.4488,0.4771,-2.83,-3.514,-2.147,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen3vl,ocrbench,1000,0.25,0.547,0.184,36.3,32.6,40.0,5e-05,OCRBench points,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,textvqa,5000,0.25,0.7023,0.4417,26.053,24.527,27.567,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,textvqa,5000,0.125,0.5971,0.3187,27.84,26.3,29.38,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,docvqa,5349,0.25,0.6361,0.5256,11.045,9.596,12.522,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,docvqa,5349,0.125,0.4547,0.2451,20.961,19.558,22.367,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,gqa,12578,0.25,0.5594,0.5852,-2.584,-3.291,-1.884,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,ocrbench,1000,0.25,0.476,0.183,29.3,25.8,32.7,5e-05,OCRBench points,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
qwen2vl,ocrbench,1000,0.125,0.335,0.067,26.8,23.8,29.9,5e-05,OCRBench points,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,textvqa,5000,0.25,0.789,0.4148,37.42,35.98,38.873,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,textvqa,5000,0.125,0.723,0.3064,41.66,40.18,43.14,5e-05,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,docvqa,5349,0.25,0.7284,0.382,34.641,33.228,36.079,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,docvqa,5349,0.125,0.5054,0.2451,26.029,24.6,27.465,5e-05,ANLS,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,gqa,12578,0.25,0.5993,0.6031,-0.382,-0.93,0.167,0.18,pp,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
internvl3,ocrbench,1000,0.25,0.753,0.321,43.2,39.7,46.6,5e-05,OCRBench points,"paired bootstrap, n_resamples=20000, seed=0 (percentile 95% CI)","paired sign-flip permutation, two-sided",runs/full_matrix/*_full.json per-sample rescore (official_scorers.py) + experiments/paired_metric_statistics.md
