model,benchmark,n,retention,rbm,post_l2,delta_pp,ci_low,ci_high,p_value,unit,note,source
qwen3vl,textvqa,200,0.75,0.74,0.653,8.7,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen3vl,textvqa,200,0.5,0.67,0.38,29.0,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen3vl,textvqa,200,0.25,0.605,0.222,38.3,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen3vl,docvqa,200,0.75,0.687,0.7,-1.3,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen3vl,docvqa,200,0.5,0.589,0.531,5.8,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen3vl,docvqa,200,0.25,0.481,0.238,24.3,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,textvqa,200,0.75,0.87,0.8,7.0,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,textvqa,200,0.5,0.813,0.66,15.3,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,textvqa,200,0.25,0.702,0.442,26.0,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,docvqa,200,0.75,0.946,0.967,-2.1,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,docvqa,200,0.5,0.875,0.889,-1.4,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
qwen2vl,docvqa,200,0.25,0.636,0.526,11.0,,,,metric-native (VQA-acc / ANLS),"n=200 dev subset, greedy, official metric; CIs for the cursor cells in aggregate_main_results.csv",experiments/j8_ablations.md (Table A) + drafts/overleaf_submission/supp.tex (S3)
