benchmark,model,sample_id,n_units,keep_ratio,spearman_pre_post,kendall_pre_post,jaccard_topk,mean_edge_pre_keep_post_drop,mean_edge_post_keep_pre_drop,frac_high_edge_pre_keep_post_drop,frac_high_edge_post_keep_pre_drop,rank_shift_edge_rho,unit_grid_h,unit_grid_w
textvqa,Qwen/Qwen3-VL-8B-Instruct,35066,576,0.25,0.4032788913169066,0.2741062801932367,0.3333333333333333,0.4792239505849365,0.23663209216041045,0.7916666666666666,0.4305555555555556,0.3293609806275393,64,36
textvqa,Qwen/Qwen3-VL-8B-Instruct,34965,864,0.25,0.3705667297258701,0.25390609283516097,0.2594752186588921,0.31768895081413073,0.18460191737889775,0.7637795275590551,0.4881889763779528,0.23522768996165846,64,54
textvqa,Qwen/Qwen3-VL-8B-Instruct,34738,768,0.25,0.06147421556975567,0.04141541720990873,0.14626865671641792,0.3071058195579302,0.20812856585725203,0.7622377622377622,0.46853146853146854,0.21574085689136444,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34982,672,0.25,0.543347973202719,0.37551091013618293,0.3125,0.28414692741353065,0.18772578341039745,0.7159090909090909,0.6818181818181818,0.06808311658155768,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34879,672,0.25,0.4343278892798845,0.30066687217728866,0.27756653992395436,0.2912233643233776,0.2116779369155043,0.7052631578947368,0.5578947368421052,0.06293756158779074,64,42
textvqa,Qwen/Qwen3-VL-8B-Instruct,35000,576,0.25,0.1575043955491925,0.10565217391304346,0.1383399209486166,0.5051157908223638,0.2663344829044211,0.8073394495412844,0.3944954128440367,0.3861476505803164,48,48
textvqa,Qwen/Qwen3-VL-8B-Instruct,34690,768,0.25,0.35692161567961916,0.2432094741416775,0.2972972972972973,0.12742362378272587,0.10493584085578242,0.5961538461538461,0.5673076923076923,0.004159059257390354,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34826,672,0.25,0.35559137399903085,0.2423227643598597,0.24444444444444444,0.2987981446306495,0.19239551654341175,0.696078431372549,0.4411764705882353,0.1634608087125398,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34619,672,0.25,0.23670616950340723,0.15239337165566674,0.1506849315068493,0.2797100216210369,0.22335448889662662,0.6854838709677419,0.6129032258064516,0.007604404488263719,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34844,736,0.25,0.021013118243580837,0.015734989648033125,0.10510510510510511,0.5361683651704916,0.19729261909105233,0.9060402684563759,0.4429530201342282,0.3543339779411276,64,46
textvqa,Qwen/Qwen3-VL-8B-Instruct,35117,896,0.25,0.4081698405432313,0.28450718276137277,0.34534534534534533,0.17464537552874024,0.14294683367629116,0.7522935779816514,0.5412844036697247,0.18333929180522776,64,56
textvqa,Qwen/Qwen3-VL-8B-Instruct,34626,768,0.25,0.38056610309364,0.2512969904389396,0.28859060402684567,0.19940438234018829,0.12638605965898847,0.7358490566037735,0.5566037735849056,0.18832841136824785,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34645,480,0.25,0.24376310227040912,0.16341336116910227,0.23076923076923078,0.45671586761871974,0.335963749786218,0.6133333333333333,0.5466666666666666,0.08446976737926228,64,30
textvqa,Qwen/Qwen3-VL-8B-Instruct,34818,672,0.25,0.4529140901482753,0.3145003903200625,0.3125,0.3797208013526291,0.31465205413670366,0.6477272727272727,0.5681818181818182,0.05778733806570374,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34664,800,0.25,0.21971256205087825,0.15051939924906135,0.2345679012345679,0.26547415004742725,0.13431393307062886,0.9112903225806451,0.532258064516129,0.2663362591557298,50,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34888,512,0.25,0.2990182719927673,0.20483732876712332,0.23671497584541062,0.3840492705378351,0.2693550649417352,0.6835443037974683,0.45569620253164556,0.2087723940834484,32,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34956,768,0.25,0.52071720562779,0.3609028683181225,0.39636363636363636,0.15199760334139847,0.0942978658320674,0.7590361445783133,0.6746987951807228,0.046300435713109704,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34674,768,0.25,0.23119099395072756,0.152481258148631,0.13274336283185842,0.3021200174579815,0.0946072509677029,0.9931972789115646,0.4557823129251701,0.4856373195397884,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34754,672,0.25,0.44222095226284924,0.30302143211979277,0.3023255813953488,0.22443334919710953,0.14588385902914322,0.7444444444444445,0.5111111111111111,0.11442641150356354,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34863,768,0.25,0.41448795867573823,0.2868657648848327,0.2631578947368421,0.4407062526318311,0.3084360901557375,0.75,0.5178571428571429,0.26717132961455087,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34983,864,0.25,0.45116139052803056,0.3093536758079053,0.2668621700879765,0.29409035750055046,0.17031063359297696,0.696,0.504,0.14273496221579612,54,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34737,768,0.25,0.41089320970019816,0.28408164928292046,0.2972972972972973,0.351336538805089,0.23151431831781968,0.7115384615384616,0.5384615384615384,0.08834138058555449,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34923,672,0.25,0.15666834142999997,0.10712978836204659,0.16262975778546712,0.3109128738422532,0.14247368939590355,0.7520661157024794,0.5950413223140496,0.23806826046223897,64,42
textvqa,Qwen/Qwen3-VL-8B-Instruct,35061,672,0.25,0.25127025375180195,0.17284969129231426,0.21739130434782608,0.12063729354283875,0.0879466559186026,0.7685185185185185,0.5462962962962963,0.04587436205739581,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34786,1024,0.25,0.38049657794506825,0.26155455767350927,0.2736318407960199,0.18536769128366684,0.15277710419837132,0.5821917808219178,0.547945205479452,0.053152663475047615,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34750,672,0.25,0.46342457690897515,0.32448903555460934,0.3603238866396761,0.1261281389153645,0.09733831386164396,0.6962025316455697,0.6708860759493671,0.03124891255133877,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34932,672,0.25,0.4357506577654923,0.2986924277907884,0.344,0.2966582349887708,0.25699764372008604,0.5853658536585366,0.43902439024390244,0.11022522034819665,42,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35073,768,0.25,0.4246403688055569,0.29489895697522817,0.328719723183391,0.20898889402157514,0.1579800843782951,0.6082474226804123,0.5360824742268041,0.08839744600455557,48,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35148,576,0.25,0.38256860796989384,0.26294161516308007,0.2576419213973799,0.2526551229112289,0.12039619855144444,0.8588235294117647,0.4823529411764706,0.3557061908223679,36,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,35050,1024,0.25,0.35039791726271363,0.23923967497556206,0.26732673267326734,0.1889904027627098,0.10980498687619016,0.5135135135135135,0.5608108108108109,0.013283328872155269,64,64
textvqa,Qwen/Qwen3-VL-8B-Instruct,34783,736,0.25,-0.010123326659434937,-0.008673469387755102,0.06358381502890173,0.4652892268341132,0.3005581616471823,0.8209876543209876,0.6049382716049383,0.2960059585176006,46,64
